order_id,order_date,customer_id,product,category,region,city,quantity,revenue,discount
ORD10000,2024-01-18,CUS0738,Yoga Mat,Accessories,South,Bengaluru,4,28680.0,0.0
ORD10001,2024-01-29,CUS0731,Desk Lamp,Home,West,Pune,4,9971.2,0.2
ORD10002,2024-01-30,CUS0616,Stainless Bottle,Home,West,Mumbai,1,6934.0,0.0
ORD10003,2024-01-05,CUS0113,Wireless Earbuds,Electronics,West,Mumbai,1,2315.15,0.05
ORD10004,2024-01-20,CUS0240,Notebook Set,Accessories,West,Mumbai,5,35520.0,0.0
ORD10005,2024-01-16,CUS0543,Denim Jacket,Apparel,South,Vijayawada,4,20044.0,0.0
ORD10006,2024-01-31,CUS0800,Notebook Set,Accessories,South,Bengaluru,4,29156.0,0.0
ORD10007,2024-01-19,CUS0652,Notebook Set,Accessories,West,Mumbai,2,1714.0,0.0
ORD10008,2024-01-01,CUS0337,Silk Saree,Apparel,East,Kolkata,4,26022.4,0.05
ORD10009,2024-01-07,CUS0189,Yoga Mat,Accessories,South,Visakhapatnam,1,2043.2,0.2
ORD10010,2024-01-05,CUS0769,Coffee Beans,Grocery,South,Vijayawada,2,6548.0,0.0
ORD10011,2024-01-07,CUS0221,Office Chair,Home,South,Vijayawada,4,2284.8,0.2
ORD10012,2024-01-03,CUS0274,Smartwatch,Electronics,East,Kolkata,5,38593.75,0.05
ORD10013,2024-01-25,CUS0772,Notebook Set,Accessories,East,Kolkata,5,26490.75,0.05
ORD10014,2024-01-16,CUS0450,Office Chair,Home,South,Visakhapatnam,7,58408.0,0.0
ORD10015,2024-01-21,CUS0212,Silk Saree,Apparel,West,Pune,6,29880.0,0.0
ORD10016,2024-01-31,CUS0005,Denim Jacket,Apparel,South,Bengaluru,3,4179.45,0.15
ORD10017,2024-01-21,CUS0344,Yoga Mat,Accessories,South,Chennai,6,17670.0,0.05
ORD10018,2024-01-15,GST1001,Desk Lamp,Home,West,Pune,1,3935.0,0.0
ORD10019,2024-01-09,CUS0347,Denim Jacket,Apparel,East,Kolkata,7,9765.0,0.1
ORD10020,2024-01-24,CUS0560,Leather Wallet,Accessories,North,Delhi,3,23823.0,0.0
ORD10021,2024-01-16,CUS0203,Silk Saree,Apparel,South,Chennai,6,44047.8,0.1
ORD10022,2024-01-24,CUS0621,Denim Jacket,Apparel,South,Bengaluru,7,34594.0,0.0
ORD10023,2024-01-01,CUS0621,Desk Lamp,Home,South,Bengaluru,5,21726.0,0.15
ORD10024,2024-01-06,CUS0487,Cotton Kurta,Apparel,South,Bengaluru,7,42581.0,0.0
ORD10025,2024-01-05,CUS0618,Smartwatch,Electronics,South,Visakhapatnam,1,5884.0,0.0
ORD10026,2024-01-22,CUS0464,Notebook Set,Accessories,South,Bengaluru,2,1634.0,0.05
